Galaxy,Source No.,RA,Dec
,486,05 24 56.05,-69 38 23.41
,487,05 24 56.18,-69 36 07.00
,488,05 24 56.39,-69 38 19.87
,489,05 24 56.53,-69 38 02.62
,490,05 24 56.66,-69 39 05.25
,491,05 24 56.67,-69 38 16.90
,492,05 24 56.87,-69 38 33.27
,493,05 24 57.10,-69 39 10.38
,494,05 24 57.75,-69 39 02.24
,495,05 24 58.06,-69 38 08.14
,496,05 24 58.33,-69 43 25.86
,497,05 24 58.44,-69 39 11.45
,498,05 24 58.47,-69 39 17.51
,499,05 24 58.82,-69 38 06.43
,500,05 24 58.91,-69 37 32.61
,501,05 24 58.95,-69 37 56.11
,502,05 24 59.19,-69 40 55.31
,503,05 24 59.52,-69 38 18.22
,504,05 24 59.61,-69 39 09.35
,505,05 24 59.85,-69 39 06.69
,506,05 24 59.95,-69 39 04.53
,507,05 24 59.98,-69 37 39.50
,508,05 25 00.04,-69 38 31.98
,509,05 25 00.32,-69 38 19.58
,510,05 25 00.59,-69 38 47.66
,511,05 25 00.62,-69 38 31.27
,512,05 25 00.98,-69 39 16.18
,513,05 25 01.17,-69 38 52.43
,514,05 25 01.27,-69 36 29.30
,515,05 25 01.28,-69 37 53.66
,516,05 25 01.39,-69 38 48.92
,517,05 25 01.49,-69 38 15.79
,518,05 25 01.55,-69 34 41.39
,519,05 25 01.61,-69 39 31.51
,520,05 25 01.64,-69 34 57.63
,521,05 25 01.67,-69 37 04.20
,522,05 25 01.67,-69 38 29.15
,523,05 25 01.93,-69 38 00.26
,524,05 25 01.95,-69 39 14.95
,525,05 25 02.01,-69 38 15.97
,526,05 25 02.01,-69 38 52.77
,527,05 25 02.07,-69 38 39.63
,528,05 25 02.09,-69 38 47.80
,529,05 25 02.40,-69 38 29.68
,530,05 25 02.44,-69 39 18.76
,531,05 25 02.49,-69 39 13.47
,532,05 25 02.75,-69 38 06.99
,533,05 25 02.96,-69 39 10.68
,534,05 25 03.14,-69 38 41.00
,535,05 25 03.17,-69 38 55.21
,536,05 25 03.19,-69 37 47.76
,537,05 25 03.32,-69 39 17.04
,538,05 25 03.61,-69 39 10.90
,539,05 25 03.70,-69 37 56.62
,540,05 25 03.92,-69 39 07.62
,541,05 25 03.96,-69 38 16.66
,542,05 25 04.07,-69 37 29.04
,543,05 25 04.31,-69 38 47.13
,544,05 25 04.37,-69 36 58.17
,545,05 25 04.56,-69 38 10.84
,546,05 25 04.93,-69 38 07.47
,547,05 25 05.15,-69 39 17.66
,548,05 25 05.30,-69 39 04.00
,549,05 25 05.43,-69 38 51.42
,550,05 25 05.61,-69 38 10.24
,551,05 25 06.03,-69 39 14.96
,552,05 25 06.42,-69 38 50.54
,553,05 25 06.65,-69 38 59.30
,554,05 25 06.74,-69 39 04.17
,555,05 25 07.11,-69 37 16.37
,556,05 25 07.32,-69 38 12.80
,557,05 25 07.34,-69 37 07.02
,558,05 25 07.34,-69 38 35.98
,559,05 25 07.38,-69 35 44.85
,560,05 25 07.70,-69 39 02.65
,561,05 25 07.73,-69 41 25.88
,562,05 25 08.15,-69 38 45.22
,563,05 25 08.22,-69 39 03.43
,564,05 25 08.50,-69 34 32.53
,565,05 25 08.73,-69 37 54.54
,566,05 25 08.88,-69 38 57.65
,567,05 25 09.08,-69 38 39.15
,568,05 25 09.11,-69 38 14.60
,569,05 25 09.18,-69 38 36.33
,570,05 25 09.36,-69 38 47.92
,571,05 25 09.39,-69 41 15.47
,572,05 25 09.46,-69 38 50.87
,573,05 25 09.94,-69 38 40.71
,574,05 25 10.36,-69 38 36.65
,575,05 25 10.53,-69 41 40.07
,576,05 25 10.54,-69 43 59.31
,577,05 25 10.71,-69 38 31.01
,578,05 25 10.89,-69 39 47.40
,579,05 25 11.19,-69 41 07.10
,580,05 25 11.27,-69 35 12.04
,581,05 25 11.59,-69 38 14.10
,582,05 25 11.93,-69 38 13.36
,583,05 25 12.19,-69 36 26.99
,584,05 25 12.22,-69 40 08.55
,585,05 25 12.46,-69 37 56.74
,586,05 25 12.73,-69 39 03.61
,587,05 25 12.85,-69 38 07.52
,588,05 25 13.17,-69 35 52.46
,589,05 25 13.20,-69 39 46.90
,590,05 25 13.42,-69 38 15.09
,591,05 25 13.46,-69 38 02.31
,592,05 25 13.82,-69 40 27.73
,593,05 25 13.87,-69 35 37.95
,594,05 25 13.99,-69 38 12.10
,595,05 25 14.48,-69 34 51.94
,596,05 25 14.59,-69 44 10.61
,597,05 25 14.95,-69 39 56.73
,598,05 25 15.24,-69 35 45.57
,599,05 25 15.54,-69 42 21.87
,600,05 25 15.73,-69 37 42.66
,601,05 25 15.87,-69 37 53.73
,602,05 25 16.73,-69 38 38.47
,603,05 25 17.39,-69 43 10.12
,604,05 25 17.84,-69 36 38.44
,605,05 25 18.10,-69 42 19.40
,606,05 25 18.29,-69 35 17.26
,607,05 25 19.16,-69 37 11.56
,608,05 25 19.46,-69 38 26.18
,609,05 25 19.53,-69 36 47.78
,610,05 25 19.80,-69 40 19.34
,611,05 25 20.69,-69 38 19.61
,612,05 25 20.81,-69 43 19.65
,613,05 25 21.02,-69 40 14.41
,614,05 25 21.05,-69 41 18.86
,615,05 25 21.28,-69 40 18.84
,616,05 25 21.41,-69 42 47.42
,617,05 25 22.49,-69 39 06.01
,618,05 25 22.93,-69 37 08.42
,619,05 25 23.08,-69 40 30.14
,620,05 25 23.12,-69 42 49.37
,621,05 25 23.28,-69 35 32.97
,622,05 25 23.85,-69 39 46.71
,623,05 25 24.67,-69 42 17.14
,624,05 25 25.18,-69 36 55.12
,625,05 25 25.22,-69 38 44.34
,626,05 25 25.53,-69 35 13.76
,627,05 25 25.66,-69 40 30.94
,628,05 25 26.00,-69 40 21.26
,629,05 25 26.18,-69 36 27.06
,630,05 25 26.70,-69 37 26.10
,631,05 25 26.74,-69 37 00.27
,632,05 25 27.40,-69 37 05.68
,633,05 25 27.69,-69 39 51.23
,634,05 25 27.87,-69 39 26.14
,635,05 25 28.61,-69 43 03.59
,636,05 25 28.89,-69 41 23.72
,637,05 25 28.95,-69 36 47.70
,638,05 25 29.03,-69 45 00.69
,639,05 25 30.54,-69 40 43.03
,640,05 25 30.97,-69 40 53.93
,641,05 25 31.07,-69 40 33.16
,642,05 25 31.39,-69 36 31.93
